ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
IND,Meghalaya,6001179,Children with any anemia,64.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413021,1413210,Region,Meghalaya,0,,0,1,CNANMCCANY,IADHS2006413021,2005-06,DHS,122,748,,,1
IND,Mizoram,7291730,Children with any anemia,44.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413022,1413220,Region,Mizoram,0,,0,1,CNANMCCANY,IADHS2006413022,2005-06,DHS,45,741,,,1
IND,Sikkim,7531934,Children with any anemia,59.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413024,1413240,Region,Sikkim,0,,0,1,CNANMCCANY,IADHS2006413024,2005-06,DHS,20,526,,,1
IND,Tripura,3665243,Children with any anemia,62.9,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413025,1413250,Region,Tripura,0,,0,1,CNANMCCANY,IADHS2006413025,2005-06,DHS,136,527,,,1
IND,Goa,3793434,Children with any anemia,38.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413026,1413260,Region,Goa,0,,0,1,CNANMCCANY,IADHS2006413026,2005-06,DHS,35,667,,,1
IND,Gujarat,475121,Children with any anemia,69.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413027,1413270,Region,Gujarat,0,,0,1,CNANMCCANY,IADHS2006413027,2005-06,DHS,2082,1256,,,1
IND,Maharashtra,4278890,Children with any anemia,63.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413028,1413280,Region,Maharashtra,0,,0,1,CNANMCCANY,IADHS2006413028,2005-06,DHS,2904,2090,,,1
IND,Andhra Pradesh including Telangana,7622480,Children with any anemia,70.8,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413029,1413290,Region,Andhra Pradesh including Telangana,0,,0,1,CNANMCCANY,IADHS2006413029,2005-06,DHS,2375,1695,,,1
IND,Karnataka,1445785,Children with any anemia,70.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413030,1413300,Region,Karnataka,0,,0,1,CNANMCCANY,IADHS2006413030,2005-06,DHS,1674,1412,,,1
IND,Kerala,6040408,Children with any anemia,44.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413031,1413310,Region,Kerala,0,,0,1,CNANMCCANY,IADHS2006413031,2005-06,DHS,834,824,,,1
IND,Tamil Nadu,1170703,Children with any anemia,64.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413032,1413320,Region,Tamil Nadu,0,,0,1,CNANMCCANY,IADHS2006413032,2005-06,DHS,1786,1440,,,1
IND,New Delhi,6457362,Children with mild anemia,26.3,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413000,1413000,Region,New Delhi,0,,0,1,CNANMCCMLD,IADHS2006413000,2005-06,DHS,258,645,,,1
IND,Haryana,1224707,Children with mild anemia,25.8,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413001,1413010,Region,Haryana,0,,0,1,CNANMCCMLD,IADHS2006413001,2005-06,DHS,843,1027,,,1
IND,Himachal Pradesh,3130034,Children with mild anemia,25.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413002,1413020,Region,Himachal Pradesh,0,,0,1,CNANMCCMLD,IADHS2006413002,2005-06,DHS,199,801,,,1
IND,"Jammu, Kashmir & Ladakh",7291679,Children with mild anemia,25.8,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413003,1413030,Region,"Jammu, Kashmir & Ladakh",0,,0,1,CNANMCCMLD,IADHS2006413003,2005-06,DHS,330,901,,,1
IND,Punjab,7624265,Children with mild anemia,21.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413005,1413050,Region,Punjab,0,,0,1,CNANMCCMLD,IADHS2006413005,2005-06,DHS,851,1018,,,1
IND,Rajasthan,3684965,Children with mild anemia,22.8,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413006,1413060,Region,Rajasthan,0,,0,1,CNANMCCMLD,IADHS2006413006,2005-06,DHS,2958,1650,,,1
IND,"Madhya Pradesh, inc Chhattisgarh",3813840,Children with mild anemia,26.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413007,1413070,Region,"Madhya Pradesh, inc Chhattisgarh",0,,0,1,CNANMCCMLD,IADHS2006413007,2005-06,DHS,4319,3840,,,
IND,Madhya Pradesh,4986721,Children with mild anemia,27.1,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413008,1413080,Region,..Madhya Pradesh,0,,0,1,CNANMCCMLD,IADHS2006413008,2005-06,DHS,3307,2538,,,1
IND,Chhattisgarh,4565589,Children with mild anemia,24,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413009,1413090,Region,..Chhattisgarh,0,,0,1,CNANMCCMLD,IADHS2006413009,2005-06,DHS,1013,1302,,,1
IND,"Uttar Pradesh, inc Uttarakhand",7629856,Children with mild anemia,25.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413010,1413100,Region,"Uttar Pradesh, inc Uttarakhand",0,,0,1,CNANMCCMLD,IADHS2006413010,2005-06,DHS,7875,5603,,,
IND,Uttar Pradesh,1496209,Children with mild anemia,25.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413011,1413110,Region,..Uttar Pradesh,0,,0,1,CNANMCCMLD,IADHS2006413011,2005-06,DHS,7582,4705,,,1
IND,Uttarakhand,6343778,Children with mild anemia,28.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413012,1413120,Region,..Uttarakhand,0,,0,1,CNANMCCMLD,IADHS2006413012,2005-06,DHS,293,898,,,1
