ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
IND,"Bihar, inc Jharkhand",7292124,Antenatal care provider: Doctor,22.8,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413013,1413130,Region,"Bihar, inc Jharkhand",14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413013,1992-93,DHS,2836,1817,,,1
IND,Odisha,6637421,Antenatal care provider: Doctor,34.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413016,1413160,Region,Odisha,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413016,1992-93,DHS,1173,1463,,,1
IND,Odisha,3592444,Antenatal care provider: Doctor,35.6,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413016,1413160,Region,Odisha,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413016,1992-93,DHS,859,1076,,,1
IND,West Bengal,1452076,Antenatal care provider: Doctor,62.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413017,1413170,Region,West Bengal,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413017,1992-93,DHS,2400,1483,,,1
IND,West Bengal,1228844,Antenatal care provider: Doctor,63.4,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413017,1413170,Region,West Bengal,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413017,1992-93,DHS,1748,1088,,,1
IND,Arunachal Pradesh,6326139,Antenatal care provider: Doctor,47.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413018,1413180,Region,Arunachal Pradesh,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413018,1992-93,DHS,44,411,,,1
IND,Arunachal Pradesh,496657,Antenatal care provider: Doctor,47.2,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413018,1413180,Region,Arunachal Pradesh,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413018,1992-93,DHS,33,309,,,1
IND,Assam,3453907,Antenatal care provider: Doctor,38,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413019,1413190,Region,Assam,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413019,1992-93,DHS,998,1166,,,1
IND,Assam,775234,Antenatal care provider: Doctor,38.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413019,1413190,Region,Assam,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413019,1992-93,DHS,732,848,,,1
IND,Manipur,636222,Antenatal care provider: Doctor,61.1,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413020,1413200,Region,Manipur,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413020,1992-93,DHS,78,378,,,1
IND,Manipur,1231323,Antenatal care provider: Doctor,61.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413020,1413200,Region,Manipur,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413020,1992-93,DHS,57,273,,,1
IND,Meghalaya,7171579,Antenatal care provider: Doctor,48.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413021,1413210,Region,Meghalaya,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413021,1992-93,DHS,75,442,,,1
IND,Meghalaya,1445848,Antenatal care provider: Doctor,47.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413021,1413210,Region,Meghalaya,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413021,1992-93,DHS,55,325,,,1
IND,Mizoram,3282512,Antenatal care provider: Doctor,43.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413022,1413220,Region,Mizoram,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413022,1992-93,DHS,21,292,,,1
IND,Mizoram,6031930,Antenatal care provider: Doctor,45.1,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413022,1413220,Region,Mizoram,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413022,1992-93,DHS,15,213,,,1
IND,Nagaland,201232,Antenatal care provider: Doctor,31,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413023,1413230,Region,Nagaland,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413023,1992-93,DHS,49,420,,,1
IND,Nagaland,3411946,Antenatal care provider: Doctor,34.2,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413023,1413230,Region,Nagaland,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413023,1992-93,DHS,39,330,,,1
IND,Tripura,6611960,Antenatal care provider: Doctor,59.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413025,1413250,Region,Tripura,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413025,1992-93,DHS,99,365,,,1
IND,Tripura,7184897,Antenatal care provider: Doctor,59.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413025,1413250,Region,Tripura,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413025,1992-93,DHS,68,252,,,1
IND,Goa,1484400,Antenatal care provider: Doctor,93.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413026,1413260,Region,Goa,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413026,1992-93,DHS,30,774,,,1
IND,Goa,3271490,Antenatal care provider: Doctor,93.8,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413026,1413260,Region,Goa,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413026,1992-93,DHS,22,546,,,1
IND,Gujarat,5863286,Antenatal care provider: Doctor,42.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413027,1413270,Region,Gujarat,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413027,1992-93,DHS,1460,1271,,,1
IND,Gujarat,963663,Antenatal care provider: Doctor,42,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413027,1413270,Region,Gujarat,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413027,1992-93,DHS,1147,999,,,1
IND,Maharashtra,7587252,Antenatal care provider: Doctor,63.3,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413028,1413280,Region,Maharashtra,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413028,1992-93,DHS,2755,1337,,,1
IND,Maharashtra,3456804,Antenatal care provider: Doctor,64.8,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413028,1413280,Region,Maharashtra,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413028,1992-93,DHS,2112,1025,,,1
IND,Andhra Pradesh including Telangana,7946071,Antenatal care provider: Doctor,63.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413029,1413290,Region,Andhra Pradesh including Telangana,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413029,1992-93,DHS,2070,1244,,,1
IND,Andhra Pradesh including Telangana,6486719,Antenatal care provider: Doctor,64.2,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413029,1413290,Region,Andhra Pradesh including Telangana,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413029,1992-93,DHS,1572,945,,,1
IND,Karnataka,872240,Antenatal care provider: Doctor,61.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413030,1413300,Region,Karnataka,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413030,1992-93,DHS,1598,1472,,,1
IND,Karnataka,5110770,Antenatal care provider: Doctor,60.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413030,1413300,Region,Karnataka,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413030,1992-93,DHS,1204,1109,,,1
IND,Kerala,3277447,Antenatal care provider: Doctor,96.8,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413031,1413310,Region,Kerala,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413031,1992-93,DHS,777,1097,,,1
IND,Kerala,529583,Antenatal care provider: Doctor,96.8,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413031,1413310,Region,Kerala,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413031,1992-93,DHS,550,776,,,1
IND,Tamil Nadu,6474006,Antenatal care provider: Doctor,71.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413032,1413320,Region,Tamil Nadu,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413032,1992-93,DHS,1674,1120,,,1
IND,Tamil Nadu,7240918,Antenatal care provider: Doctor,72.1,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413032,1413320,Region,Tamil Nadu,14002,Two years preceding the survey,0,1,RHANCPWDOC,IADHS1993413032,1992-93,DHS,1211,810,,,1
IND,New Delhi,3453947,Antenatal care provider: Nurse/midwife,6.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_NRS,83363020,I,413000,1413000,Region,New Delhi,14000,Three years preceding the survey,0,0,RHANCPWNRS,IADHS1993413000,1992-93,DHS,368,1221,,,1
IND,New Delhi,3620079,Antenatal care provider: Nurse/midwife,6.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_NRS,83363020,I,413000,1413000,Region,New Delhi,14002,Two years preceding the survey,0,1,RHANCPWNRS,IADHS1993413000,1992-93,DHS,274,910,,,1
IND,Haryana,636236,Antenatal care provider: Nurse/midwife,37.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_NRS,83363020,I,413001,1413010,Region,Haryana,14000,Three years preceding the survey,0,0,RHANCPWNRS,IADHS1993413001,1992-93,DHS,736,1164,,,1
