state,indicator,value,survey
"Dadra and Nagar Haveli, Daman and Diu",Children with moderate anemia,43.2,2019-21
Lakshadweep,Children with moderate anemia,10.9,2019-21
Puducherry,Children with moderate anemia,38.6,2019-21
New Delhi,Children with severe anemia,4.8,2019-21
Haryana,Children with severe anemia,3.6,2019-21
Himachal Pradesh,Children with severe anemia,2.1,2019-21
"Jammu, Kashmir & Ladakh",Children with severe anemia,4.2,2019-21
Jammu & Kashmir,Children with severe anemia,3.7,2019-21
Ladakh,Children with severe anemia,37.6,2019-21
Punjab,Children with severe anemia,5.0,2019-21
Rajasthan,Children with severe anemia,2.0,2019-21
Madhya Pradesh,Children with severe anemia,3.2,2019-21
Chhattisgarh,Children with severe anemia,1.6,2019-21
Uttar Pradesh,Children with severe anemia,2.1,2019-21
Uttarakhand,Children with severe anemia,2.9,2019-21
Bihar,Children with severe anemia,1.7,2019-21
Jharkhand,Children with severe anemia,1.2,2019-21
Odisha,Children with severe anemia,1.0,2019-21
West Bengal,Children with severe anemia,0.9,2019-21
Arunachal Pradesh,Children with severe anemia,2.0,2019-21
Assam,Children with severe anemia,0.8,2019-21
Manipur,Children with severe anemia,0.5,2019-21
Meghalaya,Children with severe anemia,0.5,2019-21
Mizoram,Children with severe anemia,0.3,2019-21
Nagaland,Children with severe anemia,0.5,2019-21
Sikkim,Children with severe anemia,0.9,2019-21
Tripura,Children with severe anemia,0.6,2019-21
Goa,Children with severe anemia,1.5,2019-21
Gujarat,Children with severe anemia,3.2,2019-21
Maharashtra,Children with severe anemia,2.5,2019-21
Andhra Pradesh,Children with severe anemia,2.3,2019-21
Telangana,Children with severe anemia,3.6,2019-21
Karnataka,Children with severe anemia,2.8,2019-21
Kerala,Children with severe anemia,0.7,2019-21
Tamil Nadu,Children with severe anemia,1.8,2019-21
Andaman and Nicobar Islands,Children with severe anemia,0.0,2019-21
Chandigarh,Children with severe anemia,1.4,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Children with severe anemia,1.6,2019-21
Lakshadweep,Children with severe anemia,0.5,2019-21
Puducherry,Children with severe anemia,2.2,2019-21
New Delhi,Number of children under age 5,2108.0,2019-21
Haryana,Number of children under age 5,3304.0,2019-21
Himachal Pradesh,Number of children under age 5,801.0,2019-21
"Jammu, Kashmir & Ladakh",Number of children under age 5,1400.0,2019-21
Jammu & Kashmir,Number of children under age 5,1377.0,2019-21
Ladakh,Number of children under age 5,23.0,2019-21
Punjab,Number of children under age 5,2948.0,2019-21
Rajasthan,Number of children under age 5,11821.0,2019-21
Madhya Pradesh,Number of children under age 5,10083.0,2019-21
Chhattisgarh,Number of children under age 5,4049.0,2019-21
Uttar Pradesh,Number of children under age 5,33061.0,2019-21
Uttarakhand,Number of children under age 5,1240.0,2019-21
Bihar,Number of children under age 5,23615.0,2019-21
Jharkhand,Number of children under age 5,5453.0,2019-21
Odisha,Number of children under age 5,5785.0,2019-21
West Bengal,Number of children under age 5,13309.0,2019-21
Arunachal Pradesh,Number of children under age 5,146.0,2019-21
Assam,Number of children under age 5,4862.0,2019-21
Manipur,Number of children under age 5,386.0,2019-21
Meghalaya,Number of children under age 5,700.0,2019-21
Mizoram,Number of children under age 5,142.0,2019-21
Nagaland,Number of children under age 5,186.0,2019-21
Sikkim,Number of children under age 5,40.0,2019-21
Tripura,Number of children under age 5,511.0,2019-21
Goa,Number of children under age 5,151.0,2019-21
Gujarat,Number of children under age 5,8019.0,2019-21
Maharashtra,Number of children under age 5,14633.0,2019-21
Andhra Pradesh,Number of children under age 5,5628.0,2019-21
Telangana,Number of children under age 5,3661.0,2019-21
Karnataka,Number of children under age 5,7929.0,2019-21
Kerala,Number of children under age 5,3677.0,2019-21
Tamil Nadu,Number of children under age 5,8892.0,2019-21
Andaman and Nicobar Islands,Number of children under age 5,34.0,2019-21
Chandigarh,Number of children under age 5,85.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of children under age 5,74.0,2019-21
Lakshadweep,Number of children under age 5,8.0,2019-21
Puducherry,Number of children under age 5,120.0,2019-21
