state,indicator,value,survey
Meghalaya,Number of men (unweighted),1648.0,2019-21
Mizoram,Number of men (unweighted),990.0,2019-21
Nagaland,Number of men (unweighted),1267.0,2019-21
Sikkim,Number of men (unweighted),395.0,2019-21
Tripura,Number of men (unweighted),873.0,2019-21
Goa,Number of men (unweighted),255.0,2019-21
Gujarat,Number of men (unweighted),4742.0,2019-21
Maharashtra,Number of men (unweighted),4631.0,2019-21
Andhra Pradesh,Number of men (unweighted),1289.0,2019-21
Telangana,Number of men (unweighted),3134.0,2019-21
Karnataka,Number of men (unweighted),3715.0,2019-21
Kerala,Number of men (unweighted),1207.0,2019-21
Tamil Nadu,Number of men (unweighted),2824.0,2019-21
Andaman and Nicobar Islands,Number of men (unweighted),327.0,2019-21
Chandigarh,Number of men (unweighted),85.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of men (unweighted),372.0,2019-21
Lakshadweep,Number of men (unweighted),121.0,2019-21
Puducherry,Number of men (unweighted),440.0,2019-21
New Delhi,Children with hemoglobin lower than 8.0 g/dl,10.5,2019-21
Haryana,Children with hemoglobin lower than 8.0 g/dl,9.6,2019-21
Himachal Pradesh,Children with hemoglobin lower than 8.0 g/dl,5.0,2019-21
"Jammu, Kashmir & Ladakh",Children with hemoglobin lower than 8.0 g/dl,10.9,2019-21
Jammu & Kashmir,Children with hemoglobin lower than 8.0 g/dl,10.1,2019-21
Ladakh,Children with hemoglobin lower than 8.0 g/dl,56.0,2019-21
Punjab,Children with hemoglobin lower than 8.0 g/dl,11.2,2019-21
Rajasthan,Children with hemoglobin lower than 8.0 g/dl,6.3,2019-21
Madhya Pradesh,Children with hemoglobin lower than 8.0 g/dl,9.3,2019-21
Chhattisgarh,Children with hemoglobin lower than 8.0 g/dl,5.9,2019-21
Uttar Pradesh,Children with hemoglobin lower than 8.0 g/dl,6.8,2019-21
Uttarakhand,Children with hemoglobin lower than 8.0 g/dl,7.4,2019-21
Bihar,Children with hemoglobin lower than 8.0 g/dl,5.9,2019-21
Jharkhand,Children with hemoglobin lower than 8.0 g/dl,4.5,2019-21
Odisha,Children with hemoglobin lower than 8.0 g/dl,4.3,2019-21
West Bengal,Children with hemoglobin lower than 8.0 g/dl,3.6,2019-21
Arunachal Pradesh,Children with hemoglobin lower than 8.0 g/dl,4.9,2019-21
Assam,Children with hemoglobin lower than 8.0 g/dl,3.0,2019-21
Manipur,Children with hemoglobin lower than 8.0 g/dl,1.8,2019-21
Meghalaya,Children with hemoglobin lower than 8.0 g/dl,1.8,2019-21
Mizoram,Children with hemoglobin lower than 8.0 g/dl,1.7,2019-21
Nagaland,Children with hemoglobin lower than 8.0 g/dl,1.2,2019-21
Sikkim,Children with hemoglobin lower than 8.0 g/dl,3.9,2019-21
Tripura,Children with hemoglobin lower than 8.0 g/dl,2.2,2019-21
Goa,Children with hemoglobin lower than 8.0 g/dl,4.5,2019-21
Gujarat,Children with hemoglobin lower than 8.0 g/dl,9.1,2019-21
Maharashtra,Children with hemoglobin lower than 8.0 g/dl,7.9,2019-21
Andhra Pradesh,Children with hemoglobin lower than 8.0 g/dl,8.0,2019-21
Telangana,Children with hemoglobin lower than 8.0 g/dl,10.2,2019-21
Karnataka,Children with hemoglobin lower than 8.0 g/dl,7.4,2019-21
Kerala,Children with hemoglobin lower than 8.0 g/dl,2.1,2019-21
Tamil Nadu,Children with hemoglobin lower than 8.0 g/dl,6.2,2019-21
Andaman and Nicobar Islands,Children with hemoglobin lower than 8.0 g/dl,1.1,2019-21
Chandigarh,Children with hemoglobin lower than 8.0 g/dl,4.4,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Children with hemoglobin lower than 8.0 g/dl,7.2,2019-21
Lakshadweep,Children with hemoglobin lower than 8.0 g/dl,0.5,2019-21
Puducherry,Children with hemoglobin lower than 8.0 g/dl,7.8,2019-21
New Delhi,Number of children age 6-59 months,2108.0,2019-21
Haryana,Number of children age 6-59 months,3304.0,2019-21
Himachal Pradesh,Number of children age 6-59 months,801.0,2019-21
"Jammu, Kashmir & Ladakh",Number of children age 6-59 months,1400.0,2019-21
Jammu & Kashmir,Number of children age 6-59 months,1377.0,2019-21
Ladakh,Number of children age 6-59 months,23.0,2019-21
Punjab,Number of children age 6-59 months,2948.0,2019-21
Rajasthan,Number of children age 6-59 months,11821.0,2019-21
Madhya Pradesh,Number of children age 6-59 months,10083.0,2019-21
Chhattisgarh,Number of children age 6-59 months,4049.0,2019-21
Uttar Pradesh,Number of children age 6-59 months,33061.0,2019-21
Uttarakhand,Number of children age 6-59 months,1240.0,2019-21
Bihar,Number of children age 6-59 months,23615.0,2019-21
Jharkhand,Number of children age 6-59 months,5453.0,2019-21
Odisha,Number of children age 6-59 months,5785.0,2019-21
West Bengal,Number of children age 6-59 months,13309.0,2019-21
Arunachal Pradesh,Number of children age 6-59 months,146.0,2019-21
Assam,Number of children age 6-59 months,4862.0,2019-21
Manipur,Number of children age 6-59 months,386.0,2019-21
Meghalaya,Number of children age 6-59 months,700.0,2019-21
Mizoram,Number of children age 6-59 months,142.0,2019-21
Nagaland,Number of children age 6-59 months,186.0,2019-21
Sikkim,Number of children age 6-59 months,40.0,2019-21
Tripura,Number of children age 6-59 months,511.0,2019-21
Goa,Number of children age 6-59 months,151.0,2019-21
Gujarat,Number of children age 6-59 months,8019.0,2019-21
Maharashtra,Number of children age 6-59 months,14633.0,2019-21
Andhra Pradesh,Number of children age 6-59 months,5628.0,2019-21
Telangana,Number of children age 6-59 months,3661.0,2019-21
Karnataka,Number of children age 6-59 months,7929.0,2019-21
Kerala,Number of children age 6-59 months,3677.0,2019-21
Tamil Nadu,Number of children age 6-59 months,8892.0,2019-21
Andaman and Nicobar Islands,Number of children age 6-59 months,34.0,2019-21
Chandigarh,Number of children age 6-59 months,85.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of children age 6-59 months,74.0,2019-21
Lakshadweep,Number of children age 6-59 months,8.0,2019-21
Puducherry,Number of children age 6-59 months,120.0,2019-21
New Delhi,Number of children age 6-59 months (unweighted),2154.0,2019-21
Haryana,Number of children age 6-59 months (unweighted),5258.0,2019-21
Himachal Pradesh,Number of children age 6-59 months (unweighted),2208.0,2019-21
"Jammu, Kashmir & Ladakh",Number of children age 6-59 months (unweighted),5407.0,2019-21
Jammu & Kashmir,Number of children age 6-59 months (unweighted),4962.0,2019-21
Ladakh,Number of children age 6-59 months (unweighted),445.0,2019-21
Punjab,Number of children age 6-59 months (unweighted),4268.0,2019-21
Rajasthan,Number of children age 6-59 months (unweighted),11602.0,2019-21
Madhya Pradesh,Number of children age 6-59 months (unweighted),12220.0,2019-21
Chhattisgarh,Number of children age 6-59 months (unweighted),6790.0,2019-21
Uttar Pradesh,Number of children age 6-59 months (unweighted),26585.0,2019-21
Uttarakhand,Number of children age 6-59 months (unweighted),2898.0,2019-21
Bihar,Number of children age 6-59 months (unweighted),16633.0,2019-21
Jharkhand,Number of children age 6-59 months (unweighted),7841.0,2019-21
Odisha,Number of children age 6-59 months (unweighted),6940.0,2019-21
West Bengal,Number of children age 6-59 months (unweighted),4696.0,2019-21
Arunachal Pradesh,Number of children age 6-59 months (unweighted),4649.0,2019-21
Assam,Number of children age 6-59 months (unweighted),8763.0,2019-21
Manipur,Number of children age 6-59 months (unweighted),2764.0,2019-21
Meghalaya,Number of children age 6-59 months (unweighted),5523.0,2019-21
Mizoram,Number of children age 6-59 months (unweighted),2054.0,2019-21
Nagaland,Number of children age 6-59 months (unweighted),2613.0,2019-21
Sikkim,Number of children age 6-59 months (unweighted),477.0,2019-21
Tripura,Number of children age 6-59 months (unweighted),1751.0,2019-21
Goa,Number of children age 6-59 months (unweighted),275.0,2019-21
Gujarat,Number of children age 6-59 months (unweighted),8086.0,2019-21
Maharashtra,Number of children age 6-59 months (unweighted),7764.0,2019-21
Andhra Pradesh,Number of children age 6-59 months (unweighted),2166.0,2019-21
Telangana,Number of children age 6-59 months (unweighted),5469.0,2019-21
Karnataka,Number of children age 6-59 months (unweighted),6634.0,2019-21
Kerala,Number of children age 6-59 months (unweighted),2242.0,2019-21
Tamil Nadu,Number of children age 6-59 months (unweighted),5348.0,2019-21
Andaman and Nicobar Islands,Number of children age 6-59 months (unweighted),385.0,2019-21
Chandigarh,Number of children age 6-59 months (unweighted),128.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of children age 6-59 months (unweighted),664.0,2019-21
Lakshadweep,Number of children age 6-59 months (unweighted),220.0,2019-21
Puducherry,Number of children age 6-59 months (unweighted),641.0,2019-21
New Delhi,Antenatal care provider: Doctor,80.6,2015-16
Haryana,Antenatal care provider: Doctor,48.3,2015-16
Himachal Pradesh,Antenatal care provider: Doctor,77.4,2015-16
"Jammu, Kashmir & Ladakh",Antenatal care provider: Doctor,82.4,2015-16
Punjab,Antenatal care provider: Doctor,59.3,2015-16
Rajasthan,Antenatal care provider: Doctor,56.3,2015-16
Madhya Pradesh,Antenatal care provider: Doctor,31.5,2015-16
Chhattisgarh,Antenatal care provider: Doctor,43.6,2015-16
Uttar Pradesh,Antenatal care provider: Doctor,38.6,2015-16
Uttarakhand,Antenatal care provider: Doctor,53.4,2015-16
Bihar,Antenatal care provider: Doctor,30.8,2015-16
Jharkhand,Antenatal care provider: Doctor,39.0,2015-16
Odisha,Antenatal care provider: Doctor,75.8,2015-16
West Bengal,Antenatal care provider: Doctor,80.0,2015-16
Arunachal Pradesh,Antenatal care provider: Doctor,45.7,2015-16
Assam,Antenatal care provider: Doctor,58.4,2015-16
Manipur,Antenatal care provider: Doctor,86.3,2015-16
Meghalaya,Antenatal care provider: Doctor,62.5,2015-16
Mizoram,Antenatal care provider: Doctor,68.0,2015-16
Nagaland,Antenatal care provider: Doctor,34.5,2015-16
Sikkim,Antenatal care provider: Doctor,69.7,2015-16
Tripura,Antenatal care provider: Doctor,91.7,2015-16
Goa,Antenatal care provider: Doctor,87.9,2015-16
Gujarat,Antenatal care provider: Doctor,71.8,2015-16
Maharashtra,Antenatal care provider: Doctor,77.1,2015-16
Andhra Pradesh,Antenatal care provider: Doctor,89.9,2015-16
Telangana,Antenatal care provider: Doctor,86.1,2015-16
Karnataka,Antenatal care provider: Doctor,82.7,2015-16
Kerala,Antenatal care provider: Doctor,98.9,2015-16
Tamil Nadu,Antenatal care provider: Doctor,82.8,2015-16
Andaman and Nicobar Islands,Antenatal care provider: Doctor,24.7,2015-16
Chandigarh,Antenatal care provider: Doctor,50.5,2015-16
Dadra and Nagar Haveli,Antenatal care provider: Doctor,58.3,2015-16
Daman and Diu,Antenatal care provider: Doctor,67.4,2015-16
Lakshadweep,Antenatal care provider: Doctor,100.0,2015-16
Puducherry,Antenatal care provider: Doctor,88.8,2015-16
New Delhi,Antenatal care provider: Nurse/midwife,10.2,2015-16
Haryana,Antenatal care provider: Nurse/midwife,30.2,2015-16
Himachal Pradesh,Antenatal care provider: Nurse/midwife,14.5,2015-16
"Jammu, Kashmir & Ladakh",Antenatal care provider: Nurse/midwife,8.7,2015-16
Punjab,Antenatal care provider: Nurse/midwife,35.5,2015-16
Rajasthan,Antenatal care provider: Nurse/midwife,28.2,2015-16
Madhya Pradesh,Antenatal care provider: Nurse/midwife,38.9,2015-16
Chhattisgarh,Antenatal care provider: Nurse/midwife,48.7,2015-16
Uttar Pradesh,Antenatal care provider: Nurse/midwife,36.8,2015-16
Uttarakhand,Antenatal care provider: Nurse/midwife,22.8,2015-16
Bihar,Antenatal care provider: Nurse/midwife,19.8,2015-16
Jharkhand,Antenatal care provider: Nurse/midwife,30.8,2015-16
Odisha,Antenatal care provider: Nurse/midwife,7.2,2015-16
West Bengal,Antenatal care provider: Nurse/midwife,8.2,2015-16
Arunachal Pradesh,Antenatal care provider: Nurse/midwife,10.3,2015-16
Assam,Antenatal care provider: Nurse/midwife,24.2,2015-16
Manipur,Antenatal care provider: Nurse/midwife,2.1,2015-16
Meghalaya,Antenatal care provider: Nurse/midwife,19.8,2015-16
Mizoram,Antenatal care provider: Nurse/midwife,19.7,2015-16
Nagaland,Antenatal care provider: Nurse/midwife,10.2,2015-16
Sikkim,Antenatal care provider: Nurse/midwife,23.5,2015-16
Tripura,Antenatal care provider: Nurse/midwife,1.2,2015-16
Goa,Antenatal care provider: Nurse/midwife,6.2,2015-16
Gujarat,Antenatal care provider: Nurse/midwife,9.7,2015-16
Maharashtra,Antenatal care provider: Nurse/midwife,14.2,2015-16
Andhra Pradesh,Antenatal care provider: Nurse/midwife,7.5,2015-16
Telangana,Antenatal care provider: Nurse/midwife,7.7,2015-16
Karnataka,Antenatal care provider: Nurse/midwife,5.6,2015-16
Kerala,Antenatal care provider: Nurse/midwife,0.2,2015-16
Tamil Nadu,Antenatal care provider: Nurse/midwife,8.6,2015-16
Andaman and Nicobar Islands,Antenatal care provider: Nurse/midwife,72.7,2015-16
Chandigarh,Antenatal care provider: Nurse/midwife,47.4,2015-16
Dadra and Nagar Haveli,Antenatal care provider: Nurse/midwife,26.8,2015-16
Daman and Diu,Antenatal care provider: Nurse/midwife,15.5,2015-16
Lakshadweep,Antenatal care provider: Nurse/midwife,0.0,2015-16
Puducherry,Antenatal care provider: Nurse/midwife,9.4,2015-16
New Delhi,Antenatal care provider: Community health worker,0.8,2015-16
Haryana,Antenatal care provider: Community health worker,2.5,2015-16
Himachal Pradesh,Antenatal care provider: Community health worker,0.4,2015-16
"Jammu, Kashmir & Ladakh",Antenatal care provider: Community health worker,0.3,2015-16
Punjab,Antenatal care provider: Community health worker,1.3,2015-16
Rajasthan,Antenatal care provider: Community health worker,2.4,2015-16
Madhya Pradesh,Antenatal care provider: Community health worker,6.9,2015-16
Chhattisgarh,Antenatal care provider: Community health worker,4.0,2015-16
Uttar Pradesh,Antenatal care provider: Community health worker,1.6,2015-16
Uttarakhand,Antenatal care provider: Community health worker,1.2,2015-16
Bihar,Antenatal care provider: Community health worker,4.7,2015-16
Jharkhand,Antenatal care provider: Community health worker,5.9,2015-16
Odisha,Antenatal care provider: Community health worker,7.8,2015-16
West Bengal,Antenatal care provider: Community health worker,1.5,2015-16
Arunachal Pradesh,Antenatal care provider: Community health worker,0.0,2015-16
Assam,Antenatal care provider: Community health worker,1.3,2015-16
Manipur,Antenatal care provider: Community health worker,0.1,2015-16
Meghalaya,Antenatal care provider: Community health worker,0.6,2015-16
Mizoram,Antenatal care provider: Community health worker,0.2,2015-16
Nagaland,Antenatal care provider: Community health worker,0.2,2015-16
Sikkim,Antenatal care provider: Community health worker,0.1,2015-16
Tripura,Antenatal care provider: Community health worker,0.1,2015-16
Goa,Antenatal care provider: Community health worker,3.3,2015-16
Gujarat,Antenatal care provider: Community health worker,3.2,2015-16
Maharashtra,Antenatal care provider: Community health worker,0.8,2015-16
Andhra Pradesh,Antenatal care provider: Community health worker,1.2,2015-16
Telangana,Antenatal care provider: Community health worker,2.8,2015-16
Karnataka,Antenatal care provider: Community health worker,1.0,2015-16
Kerala,Antenatal care provider: Community health worker,0.2,2015-16
Tamil Nadu,Antenatal care provider: Community health worker,0.6,2015-16
Andaman and Nicobar Islands,Antenatal care provider: Community health worker,0.0,2015-16
Chandigarh,Antenatal care provider: Community health worker,0.0,2015-16
Dadra and Nagar Haveli,Antenatal care provider: Community health worker,1.7,2015-16
Daman and Diu,Antenatal care provider: Community health worker,2.5,2015-16
Lakshadweep,Antenatal care provider: Community health worker,0.0,2015-16
Puducherry,Antenatal care provider: Community health worker,0.2,2015-16
New Delhi,Antenatal care provider: Traditional birth attendant,0.4,2015-16
Haryana,Antenatal care provider: Traditional birth attendant,0.5,2015-16
Himachal Pradesh,Antenatal care provider: Traditional birth attendant,0.6,2015-16
"Jammu, Kashmir & Ladakh",Antenatal care provider: Traditional birth attendant,0.7,2015-16
Punjab,Antenatal care provider: Traditional birth attendant,0.4,2015-16
Rajasthan,Antenatal care provider: Traditional birth attendant,0.1,2015-16
Madhya Pradesh,Antenatal care provider: Traditional birth attendant,0.4,2015-16
Chhattisgarh,Antenatal care provider: Traditional birth attendant,0.1,2015-16
Uttar Pradesh,Antenatal care provider: Traditional birth attendant,0.4,2015-16
Uttarakhand,Antenatal care provider: Traditional birth attendant,0.8,2015-16
Bihar,Antenatal care provider: Traditional birth attendant,0.4,2015-16
Jharkhand,Antenatal care provider: Traditional birth attendant,0.3,2015-16
Odisha,Antenatal care provider: Traditional birth attendant,0.3,2015-16
West Bengal,Antenatal care provider: Traditional birth attendant,0.3,2015-16
Arunachal Pradesh,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Assam,Antenatal care provider: Traditional birth attendant,0.3,2015-16
Manipur,Antenatal care provider: Traditional birth attendant,0.6,2015-16
Meghalaya,Antenatal care provider: Traditional birth attendant,0.9,2015-16
Mizoram,Antenatal care provider: Traditional birth attendant,0.2,2015-16
Nagaland,Antenatal care provider: Traditional birth attendant,0.7,2015-16
Sikkim,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Tripura,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Goa,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Gujarat,Antenatal care provider: Traditional birth attendant,0.3,2015-16
Maharashtra,Antenatal care provider: Traditional birth attendant,0.2,2015-16
Andhra Pradesh,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Telangana,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Karnataka,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Kerala,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Tamil Nadu,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Andaman and Nicobar Islands,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Chandigarh,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Dadra and Nagar Haveli,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Daman and Diu,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Lakshadweep,Antenatal care provider: Traditional birth attendant,0.0,2015-16
Puducherry,Antenatal care provider: Traditional birth attendant,0.0,2015-16
New Delhi,Antenatal care provider: Other,0.0,2015-16
Haryana,Antenatal care provider: Other,0.8,2015-16
Himachal Pradesh,Antenatal care provider: Other,0.6,2015-16
"Jammu, Kashmir & Ladakh",Antenatal care provider: Other,1.3,2015-16
Punjab,Antenatal care provider: Other,0.6,2015-16
Rajasthan,Antenatal care provider: Other,0.7,2015-16
Madhya Pradesh,Antenatal care provider: Other,1.3,2015-16
Chhattisgarh,Antenatal care provider: Other,0.5,2015-16
Uttar Pradesh,Antenatal care provider: Other,1.8,2015-16
Uttarakhand,Antenatal care provider: Other,1.4,2015-16
Bihar,Antenatal care provider: Other,2.4,2015-16
Jharkhand,Antenatal care provider: Other,0.9,2015-16
Odisha,Antenatal care provider: Other,3.4,2015-16
West Bengal,Antenatal care provider: Other,2.1,2015-16
Arunachal Pradesh,Antenatal care provider: Other,0.8,2015-16
Assam,Antenatal care provider: Other,5.1,2015-16
Manipur,Antenatal care provider: Other,0.8,2015-16
Meghalaya,Antenatal care provider: Other,2.4,2015-16
Mizoram,Antenatal care provider: Other,2.2,2015-16
Nagaland,Antenatal care provider: Other,1.2,2015-16
Sikkim,Antenatal care provider: Other,1.3,2015-16
Tripura,Antenatal care provider: Other,0.2,2015-16
Goa,Antenatal care provider: Other,0.0,2015-16
Gujarat,Antenatal care provider: Other,2.4,2015-16
Maharashtra,Antenatal care provider: Other,0.4,2015-16
Andhra Pradesh,Antenatal care provider: Other,0.5,2015-16
Telangana,Antenatal care provider: Other,0.5,2015-16
Karnataka,Antenatal care provider: Other,0.3,2015-16
Kerala,Antenatal care provider: Other,0.0,2015-16
Tamil Nadu,Antenatal care provider: Other,0.2,2015-16
Andaman and Nicobar Islands,Antenatal care provider: Other,0.0,2015-16
Chandigarh,Antenatal care provider: Other,0.0,2015-16
Dadra and Nagar Haveli,Antenatal care provider: Other,0.8,2015-16
Daman and Diu,Antenatal care provider: Other,0.0,2015-16
